error=0.6517576743931853, alpha=1.5704503249295727Boosting round: 8, Accuracy: 0.2062
error=0.6536512660183603, alpha=1.5620967696327026Boosting round: 9, Accuracy: 0.2098
error=0.6550251890837203, alpha=1.5560222883530326Boosting round: 10, Accuracy: 0.2108
error=0.6253802543090868, alpha=1.684776205731773Boosting round: 11, Accuracy: 0.2107
error=0.6337989379113109, alpha=1.6486753383611894Boosting round: 12, Accuracy: 0.2085
error=0.642403598950592, alpha=1.6114127914370857Boosting round: 13, Accuracy: 0.2069
error=0.645385646535773, alpha=1.598407408329948Boosting round: 14, Accuracy: 0.2104
error=0.6154246180447698, alpha=1.7270519335549264Boosting round: 15, Accuracy: 0.2111
error=0.6164679457046873, alpha=1.7226414509488668Boosting round: 16, Accuracy: 0.2102
error=0.6160636306790349, alpha=1.7243511565443808Boosting round: 17, Accuracy: 0.2105
error=0.656326466616817, alpha=1.5502584255550678Boosting round: 18, Accuracy: 0.2138
error=0.6280603763522877, alpha=1.6733198138793535Boosting round: 19, Accuracy: 0.2138
error=0.6410958151771677, alpha=1.6171011121523766Boosting round: 20, Accuracy: 0.2155
error=0.6093139991963751, alpha=1.7527950148336284Boosting round: 21, Accuracy: 0.2152
error=0.6328956068489696, alpha=1.6525653444917683Boosting round: 22, Accuracy: 0.2175
error=0.6257573849821652, alpha=1.6831661356384517Boosting round: 23, Accuracy: 0.2184
error=0.6432851283428015, alpha=1.6075733007842894Boosting round: 24, Accuracy: 0.2207
error=0.6149835587933538, alpha=1.7289150813652192Boosting round: 25, Accuracy: 0.2227
error=0.6214808096793046, alpha=1.7013863168605057Boosting round: 26, Accuracy: 0.2217
error=0.6350804308519744, alpha=1.6431498945069933Boosting round: 27, Accuracy: 0.2204
error=0.6435357459584403, alpha=1.6064809682268024Boosting round: 28, Accuracy: 0.2231
error=0.625847964327871, alpha=1.6827793315223145Boosting round: 29, Accuracy: 0.2232
error=0.6070702320937105, alpha=1.762210977637416Boosting round: 30, Accuracy: 0.2231
error=0.6225740633964663, alpha=1.6967363337435881Boosting round: 31, Accuracy: 0.2235
error=0.6320732727351049, alpha=1.6561030596881814Boosting round: 32, Accuracy: 0.223
error=0.6305416828624298, alpha=1.662683238507215Boosting round: 33, Accuracy: 0.226
error=0.6191125967070121, alpha=1.711441222247515Boosting round: 34, Accuracy: 0.2279
error=0.6123543274712168, alpha=1.74000520316037Boosting round: 35, Accuracy: 0.2267
error=0.6219248787134863, alpha=1.699498175100204Boosting round: 36, Accuracy: 0.2293
error=0.6303012597263224, alpha=1.6637151407135466Boosting round: 37, Accuracy: 0.2304
error=0.6248826694959558, alpha=1.6868995324069147Boosting round: 38, Accuracy: 0.2295
error=0.6091758391025041, alpha=1.753375359601483Boosting round: 39, Accuracy: 0.2299
error=0.6222452995353625, alpha=1.6981352344947607Boosting round: 40, Accuracy: 0.2306
error=0.6242561693362719, alpha=1.6895713752001345Boosting round: 41, Accuracy: 0.2303
error=0.626142433342085, alpha=1.6815215898808646Boosting round: 42, Accuracy: 0.2307
error=0.6135997705367913, alpha=1.734755397432518Boosting round: 43, Accuracy: 0.2327
error=0.625614299227939, alpha=1.683777083035952Boosting round: 44, Accuracy: 0.2363
error=0.6162563979767008, alpha=1.723536096431354Boosting round: 45, Accuracy: 0.2365
error=0.635862215898529, alpha=1.6397750028997522Boosting round: 46, Accuracy: 0.2387
error=0.6236961315339257, alpha=1.691958274087994Boosting round: 47, Accuracy: 0.2381
